"year","cowcode","ln_gdpen"
1945,700,0.851708578
1946,700,-1.639897108
1947,700,-1.629640698
1948,700,-1.639897108
1949,700,-1.398366928
1950,700,-1.671313405
1951,700,-1.551169038
1952,700,-1.509592533
1953,700,-1.518683553
1954,700,-1.262308359
1955,700,-1.108662605
1956,700,-1.046969056
1957,700,-0.898942053
1958,700,-0.848632097
1959,700,-0.78965807
1960,700,-0.740238786
1961,700,-0.685178995
1962,700,-0.59602046
1963,700,-0.576253474
1964,700,-0.534435451
1965,700,-0.478035808
1966,700,-0.43695572
1967,700,-0.318828791
1968,700,-0.281037539
1969,700,-0.355247438
1970,700,-0.301105082
1971,700,-0.173163593
1972,700,-0.236988991
1973,700,-0.176737174
1974,700,-0.12443006
1975,700,-0.109814838
1976,700,-0.019182812
1977,700,-0.022245623
1978,700,-0.002001977
1979,700,0.006975583
1980,700,-0.034591425
1981,700,-0.012072606
1982,700,0.021761447
1983,700,0.110646509
1984,700,0.178146228
1985,700,0.272314578
1986,700,0.253866762
1987,700,0.402126223
1988,700,0.595534384
1989,700,0.60212779
1990,700,0.616805971
1991,700,0.570414424
1992,700,0.306268713
1993,700,0.308607697
1994,700,0.307101264
1995,700,0.307561334
1996,700,0.309003053
1997,700,0.307988997
1998,700,0.308675405
1999,700,0.306431671
2000,700,0.305685641
1945,339,-2.453408003
1946,339,-2.407945633
1947,339,-2.145581245
1948,339,-1.958995342
1949,339,-1.645065069
1950,339,-1.482805252
1951,339,-1.448169708
1952,339,-1.305636525
1953,339,-1.25526607
1954,339,-1.237874389
1955,339,-1.197328329
1956,339,-0.972861111
1957,339,-0.675307274
1958,339,-0.578034401
1959,339,-0.504181147
1960,339,-0.438504994
1961,339,-0.353821844
1962,339,-0.297059268
1963,339,-0.381260365
1964,339,-0.295714229
1965,339,-0.316081583
1966,339,-0.115410879
1967,339,0.024692589
1968,339,0.094400652
1969,339,0.27459681
1970,339,0.344298691
1971,339,-0.041864213
1972,339,0.027615163
1973,339,0.088926256
1974,339,0.121332243
1975,339,0.223943263
1976,339,0.298622042
1977,339,0.341459751
1978,339,0.387301177
1979,339,0.429832429
1980,339,0.608133793
1981,339,0.563607812
1982,339,0.673964381
1983,339,0.753771782
1984,339,0.750472248
1985,339,0.77748841
1986,339,0.804688573
1987,339,0.812706411
1988,339,0.852711737
1989,339,0.860778034
1990,339,0.877549887
1991,339,0.682086229
1992,339,0.855798074
1993,339,0.857183464
1994,339,0.856803334
1995,339,0.854738449
1996,339,0.856529879
1997,339,0.850482007
1998,339,0.857531664
1999,339,0.854097384
2000,339,0.855101885
1962,615,0.242946163
1963,615,0.416734666
1964,615,0.463104874
1965,615,0.459953278
1966,615,0.436963767
1967,615,0.470003635
1968,615,0.564176798
1969,615,0.607044518
1970,615,0.60212779
1971,615,0.516409993
1972,615,0.698632061
