country	ccode	year	month	day	coup	version
"Cuba"	40	1952	3	10	2	"V2015.05.20"
"Cuba"	40	1957	9	5	1	"V2015.05.20"
"Haiti"	41	1950	5	10	2	"V2015.05.20"
"Haiti"	41	1956	12	12	2	"V2015.05.20"
"Haiti"	41	1957	4	2	2	"V2015.05.20"
"Haiti"	41	1957	5	21	2	"V2015.05.20"
"Haiti"	41	1957	6	14	2	"V2015.05.20"
"Haiti"	41	1970	4	24	1	"V2015.05.20"
"Haiti"	41	1986	2	7	2	"V2015.05.20"
"Haiti"	41	1988	6	20	2	"V2015.05.20"
"Haiti"	41	1988	9	18	2	"V2015.05.20"
"Haiti"	41	1989	4	2	1	"V2015.05.20"
"Haiti"	41	1989	4	5	1	"V2015.05.20"
"Haiti"	41	1991	1	7	1	"V2015.05.20"
"Haiti"	41	1991	9	30	2	"V2015.05.20"
"Dominican Republic"	42	1962	1	16	1	"V2015.05.20"
"Dominican Republic"	42	1963	9	25	2	"V2015.05.20"
"Dominican Republic"	42	1965	4	25	2	"V2015.05.20"
"Dominican Republic"	42	1965	11	22	1	"V2015.05.20"
"Dominica"	54	1981	12	19	1	"V2015.05.20"
"Grenada"	55	1979	3	13	2	"V2015.05.20"
"Grenada"	55	1983	10	14	2	"V2015.05.20"
"Guatemala"	90	1954	6	29	2	"V2015.05.20"
"Guatemala"	90	1955	1	20	1	"V2015.05.20"
"Guatemala"	90	1957	10	24	2	"V2015.05.20"
"Guatemala"	90	1960	11	13	1	"V2015.05.20"
"Guatemala"	90	1962	11	25	1	"V2015.05.20"
"Guatemala"	90	1963	3	30	2	"V2015.05.20"
"Guatemala"	90	1982	3	23	2	"V2015.05.20"
"Guatemala"	90	1983	8	8	2	"V2015.05.20"
"Guatemala"	90	1988	5	11	1	"V2015.05.20"
"Guatemala"	90	1989	5	9	1	"V2015.05.20"
"Honduras"	91	1956	8	1	1	"V2015.05.20"
"Honduras"	91	1956	10	21	2	"V2015.05.20"
"Honduras"	91	1959	7	12	1	"V2015.05.20"
"Honduras"	91	1963	10	3	2	"V2015.05.20"
"Honduras"	91	1972	12	4	2	"V2015.05.20"
"Honduras"	91	1975	4	22	2	"V2015.05.20"
"Honduras"	91	1977	10	21	1	"V2015.05.20"
"Honduras"	91	1978	8	7	2	"V2015.05.20"
"Honduras"	91	1999	7	30	1	"V2015.05.20"
"Honduras"	91	2009	6	28	2	"V2015.05.20"
"El Salvador"	92	1960	10	26	2	"V2015.05.20"
"El Salvador"	92	1961	1	25	2	"V2015.05.20"
"El Salvador"	92	1972	3	25	1	"V2015.05.20"
"El Salvador"	92	1979	10	15	2	"V2015.05.20"
"Panama"	95	1951	5	9	2	"V2015.05.20"
"Panama"	95	1968	10	12	2	"V2015.05.20"
"Panama"	95	1969	12	14	1	"V2015.05.20"
"Panama"	95	1988	3	16	1	"V2015.05.20"
"Panama"	95	1989	10	3	1	"V2015.05.20"
"Colombia"	100	1953	6	13	2	"V2015.05.20"
"Colombia"	100	1957	5	10	2	"V2015.05.20"
"Colombia"	100	1958	5	2	1	"V2015.05.20"
"Colombia"	100	1961	10	11	1	"V2015.05.20"
"Venezuela"	101	1952	9	29	1	"V2015.05.20"
"Venezuela"	101	1958	1	1	1	"V2015.05.20"
"Venezuela"	101	1958	7	22	1	"V2015.05.20"
"Venezuela"	101	1958	9	7	1	"V2015.05.20"
"Venezuela"	101	1960	9	12	1	"V2015.05.20"
"Venezuela"	101	1961	2	20	1	"V2015.05.20"
"Venezuela"	101	1961	6	26	1	"V2015.05.20"
"Venezuela"	101	1962	5	4	1	"V2015.05.20"
"Venezuela"	101	1962	6	2	1	"V2015.05.20"
"Venezuela"	101	1966	10	30	1	"V2015.05.20"
"Venezuela"	101	1992	2	4	1	"V2015.05.20"
"Venezuela"	101	1992	11	27	1	"V2015.05.20"
"Venezuela"	101	2002	4	12	1	"V2015.05.20"
"Suriname"	115	1980	2	25	2	"V2015.05.20"
"Suriname"	115	1980	8	15	2	"V2015.05.20"
"Ecuador"	130	1952	3	3	1	"V2015.05.20"
"Ecuador"	130	1954	12	23	1	"V2015.05.20"
"Ecuador"	130	1956	8	7	1	"V2015.05.20"
"Ecuador"	130	1961	11	8	2	"V2015.05.20"
"Ecuador"	130	1963	7	11	2	"V2015.05.20"
"Ecuador"	130	1966	3	29	2	"V2015.05.20"
"Ecuador"	130	1972	2	15	2	"V2015.05.20"
"Ecuador"	130	1975	9	1	1	"V2015.05.20"
"Ecuador"	130	1976	1	11	2	"V2015.05.20"
"Ecuador"	130	1986	3	8	1	"V2015.05.20"
"Ecuador"	130	2000	1	21	1	"V2015.05.20"
"Peru"	135	1954	8	10	1	"V2015.05.20"
"Peru"	135	1956	2	16	1	"V2015.05.20"
"Peru"	135	1962	7	18	2	"V2015.05.20"
"Peru"	135	1963	3	3	2	"V2015.05.20"
"Peru"	135	1968	10	3	2	"V2015.05.20"
"Peru"	135	1975	8	29	2	"V2015.05.20"
"Peru"	135	1992	11	13	1	"V2015.05.20"
"Peru"	135	2000	10	30	1	"V2015.05.20"
"Brazil"	140	1955	11	11	2	"V2015.05.20"
"Brazil"	140	1959	12	3	1	"V2015.05.20"
"Brazil"	140	1963	9	12	1	"V2015.05.20"
"Brazil"	140	1964	3	30	2	"V2015.05.20"
"Brazil"	140	1964	4	1	2	"V2015.05.20"
"Brazil"	140	1969	8	31	2	"V2015.05.20"
"Bolivia"	145	1950	7	22	1	"V2015.05.20"
"Bolivia"	145	1951	5	16	2	"V2015.05.20"
"Bolivia"	145	1952	4	9	2	"V2015.05.20"
"Bolivia"	145	1953	1	6	1	"V2015.05.20"
"Bolivia"	145	1958	10	21	1	"V2015.05.20"
