STATEABB,CCODE,LEADER,START DAY,START MONTH,START YEAR,END MONTH,END YEAR,BIRTH YEAR,GENDER,MILITARY CAREER,ELECTION MONTH,ELECTION YEAR,gwcode,start_date,end_date,leader_age
USA,2,Trump,20,1,2017,NA,NA,1946,1,0,11,2016,2,2017-01-20,NA,71.49349760438056
CAN,20,Trudeau,4,11,2015,NA,NA,1971,1,0,10,2015,20,2015-11-04,NA,46.49418206707735
BHM,31,Hubert Minnis,11,5,2017,NA,NA,1954,1,0,5,2017,31,2017-05-11,NA,63.493497604380565
CUB,40,Raul Castro,24,2,2008,NA,NA,1931,1,1,1,2008,40,2008-02-24,NA,86.49418206707735
HAI,41,Jovenel Moise,7,2,2017,NA,NA,1968,1,0,11,2016,41,2017-02-07,NA,49.492128678986994
DOM,42,Danilo Medina,16,8,2012,NA,NA,1951,1,0,5,2012,42,2012-08-16,NA,66.49418206707735
JAM,51,Holness,3,3,2016,NA,NA,1972,1,0,2,2016,51,2016-03-03,NA,45.492128678986994
TRI,52,Rowley,9,9,2015,NA,NA,1949,1,0,9,2015,52,2015-09-09,NA,68.49281314168378
BAR,53,Stuart,23,10,2010,NA,NA,1951,1,0,2,2013,53,2010-10-23,NA,66.49418206707735
DMA,54,Roosevelt Skerrit,8,1,2004,NA,NA,1972,1,0,5,2005,54,2004-01-08,NA,45.492128678986994
GRN,55,Mitchell,20,2,2013,NA,NA,1946,1,0,2,2013,55,2013-02-20,NA,71.49349760438056
SLU,56,Chastanet,7,6,2016,NA,NA,1961,1,0,6,2016,56,2016-06-07,NA,56.492813141683776
SVG,57,Gonsalves,29,3,2001,NA,NA,1946,1,0,3,2001,57,2001-03-29,NA,71.49349760438056
AAB,58,Browne,13,6,2014,NA,NA,1967,1,0,6,2014,58,2014-06-13,NA,50.49418206707735
SKN,60,Harris,18,2,2015,NA,NA,1964,1,0,2,2015,60,2015-02-18,NA,53.492128678986994
MEX,70,Enrique Pena Nieto,1,12,2012,NA,NA,1966,1,0,7,2012,70,2012-12-01,NA,51.493497604380565
BLZ,80,D.Barrow,8,2,2008,NA,NA,1951,1,0,2,2008,80,2008-02-08,NA,66.49418206707735
GUA,90,Morales,14,1,2016,NA,NA,1969,1,0,10,2015,90,2016-01-14,NA,48.492813141683776
HON,91,Juan Orlando Hernandez,27,1,2014,NA,NA,1968,1,0,11,2013,91,2014-01-27,NA,49.492128678986994
SAL,92,Salvador Sanchez Ceren,1,6,2014,NA,NA,1944,1,0,3,2014,92,2014-06-01,NA,73.492128678987
NIC,93,Daniel Ortega,10,1,2007,NA,NA,1945,1,0,11,2006,93,2007-01-10,NA,72.49281314168378
COS,94,Luis Guillermo Solis,8,5,2014,NA,NA,1958,1,0,4,2014,94,2014-05-08,NA,59.493497604380565
PAN,95,Juan Carlos Varela,1,7,2014,NA,NA,1963,1,0,5,2014,95,2014-07-01,NA,54.49418206707735
COL,100,Santos Calderon,7,8,2010,NA,NA,1951,1,0,6,2010,100,2010-08-07,NA,66.49418206707735
VEN,101,Nicolas Maduro,5,3,2013,NA,NA,1962,1,0,4,2013,101,2013-03-05,NA,55.493497604380565
GUY,110,David Granger,16,5,2015,NA,NA,1945,1,1,5,2015,110,2015-05-16,NA,72.49281314168378
SUR,115,Bouterse,12,8,2010,NA,NA,1945,1,1,5,2010,115,2010-08-12,NA,72.49281314168378
ECU,130,Lenin Moreno,24,5,2017,NA,NA,1953,1,0,4,2017,130,2017-05-24,NA,64.49281314168378
PER,135,Pedro Pablo Kuczynski,25,7,2016,NA,NA,1938,1,0,6,2016,135,2016-07-25,NA,79.49349760438056
BRA,140,Temer,12,5,2016,NA,NA,1940,1,0,NA,NA,140,2016-05-12,NA,77.492128678987
BOL,145,Evo Morales,22,1,2006,NA,NA,1959,1,0,12,2005,145,2006-01-22,NA,58.49418206707735
PAR,150,Horacio Cartes,15,8,2013,NA,NA,1956,1,0,4,2013,150,2013-08-15,NA,61.492128678986994
CHL,155,Michelle Bachelet,11,3,2014,NA,NA,1951,0,0,12,2013,155,2014-03-11,NA,66.49418206707735
ARG,160,Macri,10,12,2015,NA,NA,1959,1,0,11,2015,160,2015-12-10,NA,58.49418206707735
URU,165,Tabare Vazquez,1,3,2015,NA,NA,1940,1,0,10,2014,165,2015-03-01,NA,77.492128678987
UKG,200,May,13,7,2016,NA,NA,1956,0,0,6,2017,200,2016-07-13,NA,61.492128678986994
IRE,205,Varadkar,14,6,2017,NA,NA,1979,1,0,NA,NA,205,2017-06-14,NA,38.49418206707735
NTH,210,M. Rutte,14,10,2010,NA,NA,1967,1,0,6,2010,210,2010-10-14,NA,50.49418206707735
BEL,211,Charles Michel,11,10,2014,NA,NA,1975,1,0,5,2014,211,2014-10-11,NA,42.49418206707735
LUX,212,Bettel,4,12,2013,NA,NA,1973,1,0,10,2013,212,2013-12-04,NA,44.492813141683776
FRN,220,Macron,14,5,2017,NA,NA,1977,1,0,5,2017,220,2017-05-14,NA,40.492813141683776
MNC,221,Albert,6,4,2005,NA,NA,1958,1,0,NA,NA,221,2005-04-06,NA,59.493497604380565
